"Orden";"en";"es";"fr";"kind";"nota"
1;" We place the valencies in Roman numerals \n on each item.";"Colocamos las valencias en números romanos \n sobre cada reactivo para tenerlas de referencia.";" Nous plaçons les valences en chiffres romains \n sur chaque élément.";"default";"por defecto"
2;"Oxygen always has a subscript 2 in reagents for being a gas.";"El Oxígeno siempre lleva un subíndice 2 en reactivos por ser un gas.";" L'oxygène a toujours un indice 2 dans les réactifs pour être un gaz.";"default";"por defecto"
3;" To the left of the reaction date we locate \n the 'Reagents' and to the right we locate the 'Products'. \n In this case the product is an 'Oxide'.";"A la izquierda de la fecha de reacción ubicamos \n los 'Reactivos' y a la derecha ubicamos los 'Productos'. \n En este caso el producto es un 'Óxido'.";" À gauche de la date de réaction, nous localisons \n les ‘Réactifs’ et à droite nous localisons les ‘Produits’. \n Dans ce cas, le produit est un ‘Oxyde’.";"default";"por defecto"
4;"In Products ... \n The subscript of the element MY_NAME will be 2. \n The subscript of the Oxygen will be MY_VALENCIA.";"Las valencias fueron detalladas en números romanos. \n En Productos el subíndice del elemento MY_NAME será 2 y \n el subíndice del Oxígeno será MY_VALENCIA.";"En Productos... \n El subíndice del elemento MY_NAME  será 2. \n El subíndice del Oxígeno será MY_VALENCIA.";"default";"por defecto"
5;" In this case, it was not necessary to simplify the subscripts.";"En este caso, no fue necesario simplificar los subindices.";"Dans ce cas, il n'était pas nécessaire de simplifier les indices.";"default";"por defecto"
6;"The new Oxide coefficient will be 1, and the Oxygen coefficient in reagents will be 1. \n Now the Oxygen is already balanced in the equation. \n Check it out!";"El nuevo coeficiente del Óxido será 1, y el coeficiente del Óxigeno en reactivos será 1. \n Ahora el Oxígeno ya se encuentra balanceado en la ecuación. \n Verifícalo!";"Le nouveau coefficient d'Oxyde sera 1 et le coefficient d'Oxygène dans les réactifs sera 1. \n L'oxygène est maintenant déjà équilibré dans l'équation. \n Vérifiez-le!";"default";"por defecto"
7;"The MY_NAME element is already balanced in the equation. \n Check it out!";"El elemento MY_NAME ya se encuentra balanceado en la ecuación. \n Verifícalo!";"L'élément MY_NAME est déjà équilibré dans l'équation. \n Vérifiez-le!";"default";"por defecto"
8;"In this case, simplifying the coefficients was not necessary.";"En este caso, simplificar los coeficientes no fue necesario.";"Dans ce cas, la simplification des coefficients n'était pas nécessaire.";"default";"por defecto"
9;"SEPARADOR – SEPARADOR";"SEPARADOR – SEPARADOR";"SEPARADOR – SEPARADOR";"SEPARADOR – SEPARADOR";"SEPARADOR – SEPARADOR"
10;"In this case, simplifying the subscripts is not possible.
";"En este caso, simplificar los subíndices no es posible.";"Dans ce cas, la simplification des indices n'est pas possible. ";"caso1.1.1";"detalles en reaccion"
11;"The subscripts were simplified by MY_COEF3_PASO5.";"Los subíndices se simplificaron por MY_COEF3_PASO5.";"Les indices ont été simplifiés par MY_COEF3_PASO5. ";"caso1.1.2";"detalles en reaccion"
12;"The new Oxide coefficient will be MY_COEF3_PASO6, and the Oxygen coefficient in reagents will be MY_COEF2_PASO6. \n Oxygen is now balanced in the equation. \n Check it out!";"El nuevo coeficiente del Óxido será MY_COEF3_PASO6, y el coeficiente del Óxigeno en reactivos será MY_COEF2_PASO6. \n Ahora el Oxígeno ya se encuentra balanceado en la ecuación. \n Verifícalo!";"Le nouveau coefficient d'oxyde sera MY_COEF3_PASO6 et le coefficient d'oxygène dans les réactifs sera MY_COEF2_PASO6. \n L'oxygène est maintenant équilibré dans l'équation. \ n Vérifiez-le!";"caso1.2.1";"detalles en reaccion"
13;"El nuevo coeficiente del elemento MY_NAME en reactivos es MY_COEF1_PASO7. \n Ahora el elemento MY_NAME se encuentra balanceado en la ecuación. \n Verifícalo!";"El nuevo coeficiente del elemento MY_NAME en reactivos es MY_COEF1_PASO7. \n Ahora el elemento MY_NAME se encuentra balanceado en la ecuación. \n Verifícalo!";"El nuevo coeficiente del elemento MY_NAME en reactivos es MY_COEF1_PASO7. \n Ahora el elemento MY_NAME se encuentra balanceado en la ecuación. \n Verifícalo!";"caso1.3.1";"detalles en reaccion"
14;" It is not possible to simplify the three coefficients of the equation.";"No es posible simplificar los tres coeficientes de la ecuación.";"Il n'est pas possible de simplifier les trois coefficients de l'équation.";"caso1.4.1";"detalles en reaccion"
15;"The three coefficients were simplified by MY_MCD_PASO8. ";"Los tres coeficientes se simplificaron por MY_MCD_PASO8.";"Les trois coefficients ont été simplifiés par MY_MCD_PASO8.";"caso1.4.2";"detalles en reaccion"
16;"The MY_NAME element is also a gas and must therefore \n have a subscript 2 in reactants.";"El elemento MY_NAME es también un gas y debe \n llevar entonces un subíndice 2 en reactivos.";"L'élément MY_NAME est également un gaz et doit donc \n avoir un indice 2 dans les réactifs.";"caso1.5.1";"detalles en reaccion"
17;"In this case, an oxide is not formed. \n In ‘products’ we will only find Oxygen. ";"En este caso no se forma un Óxido. \n En ‘productos’ solo encontraremos al Oxígeno.";"Dans ce cas, il ne se forme pas d'oxyde. \n Dans ""produits"", nous ne trouverons que de l'oxygène.";"caso2.1.1";"oxigeno"
18;"In this case, in products there is only Oxygen. \n This element is a gas, therefore \n we must place a subscript 2 on it. ";"En este caso, en productos hay solo Oxígeno.\n Este elemento es un gas, por lo tanto\n debemos colocarle un subíndice 2.";"Dans ce cas, les produits contiennent uniquement de l'oxygène. \n Cet élément est un gaz, \n nous devons donc y placer un indice 2.";"caso2.2.1";"oxigeno"
19;"In this case, we directly balance the amount of Oxygen \n adding a 2 as a coefficient in products. ";"En este caso, balanceamos directamente la cantidad de Oxígeno\n agregando un 2 como coeficiente en productos.";"Dans ce cas, nous équilibrons directement la quantité d'oxygène \n en ajoutant un 2 comme coefficient dans les produits. ";"caso2.3.1";"oxigeno"
20;"SEPARADOR – SEPARADOR";"SEPARADOR – SEPARADOR";"SEPARADOR – SEPARADOR";"SEPARADOR – SEPARADOR";"SEPARADOR – SEPARADOR"
21;"The MY_NAME element presents zero valence as it is a noble gas.";"El elemento MY_NAME presenta valencia cero por ser un gas noble.";"L'élément MY_NAME présente une valence nulle car il s'agit d'un gaz rare.";"caso3.1.1";"gas noble"
22;"Noble gases do not have a subscript two.";"Los gases nobles no llevan subíndice dos.";"Les gaz nobles n'ont pas d'indice deux.";"caso3.2.1";"gas noble"
23;"Noble gases do not react with Oxygen. \n No oxide formation. \n Reagents remain separate.";"Los gases nobles no reaccionan con Oxígeno. \n No hay formación de óxido.\n Los reactivos permanecen separados.";"Les gaz nobles ne réagissent pas avec l'oxygène. \n Aucune formation d'oxyde. \n Les réactifs restent séparés.";"caso3.3.1";"gas noble"
24;"No chemical reaction occurs therefore there is no \n exchange of valences in the product.";"No ocurre reacción química por lo tanto no hay intercambio \n de valencias en el producto.";"Aucune réaction chimique ne se produit donc il n'y a pas \n d'échange de valences dans le produit.";"caso3.4.1";"gas noble"
25;"No oxide formed and the chemical equation \n is already balanced.";"No se formo un óxido y la ecuación química \n ya está balanceada.";"Aucun oxyde ne s'est formé et l'équation chimique \n est déjà équilibrée. ";"caso3.5.1";"gas noble"
26;"No oxide formed and the chemical equation \n is already balanced.";"No se formo un óxido y la ecuación química \n ya está balanceada.";"Aucun oxyde ne s'est formé et l'équation chimique \n est déjà équilibrée. ";"caso3.6.1";"gas noble"
27;"No oxide formed and the chemical equation \n is already balanced.";"No se formo un óxido y la ecuación química \n ya está balanceada.";"Aucun oxyde ne s'est formé et l'équation chimique \n est déjà équilibrée. ";"caso3.7.1";"gas noble"
28;"No oxide formed and the chemical equation \n is already balanced.";"No se formo un óxido y la ecuación química \n ya está balanceada.";"Aucun oxyde ne s'est formé et l'équation chimique \n est déjà équilibrée. ";"caso3.8.1";"gas noble"
